   No.   File  Line   Col. Cls.  Mthd.  Rep.  Tok.     Text
    81     0    51    32     0     2     0      60  )
    82     0    51    33     0     2     0     102  ;
    83     0    52     5     0     2     1      64  }
    84     0    52     5     0     2     0     128  ENDMETHOD
    85     0    52     5     0     3     0     129  STARTMETHOD
    86     0    54     5     0     3     0      45  static
    87     0    54    12     0     3     0      36  int
    88     0    54    16     0     3     0     111  swap
    89     0    54    20     0     3     0      59  (
    90     0    54    21     0     3     0      36  int
    91     0    54    25     0     3     0     111  x
    92     0    54    26     0     3     0      60  )
    93     0    54    28     0     3     0      63  {
    94     0    55     9     0     3     0      19  return
    95     0    55    16     0     3     0      59  (
    96     0    55    17     0     3     0      59  (
    97     0    55    18     0     3     0     111  x
    98     0    55    20     0     3     0      90  <<
    99     0    55    23     0     3     0     112  24
   100     0    55    25     0     3     0      60  )
   101     0    55    27     0     3     0      96  |
   102     0    56    17     0     3     0      59  (
   103     0    56    18     0     3     0      59  (
   104     0    56    19     0     3     0     111  x
   105     0    56    21     0     3     0      99  &
   106     0    56    23     0     3     0     112  0x0000ff00
   107     0    56    33     0     3     0      60  )
   108     0    56    35     0     3     0      90  <<
   109     0    56    39     0     3     0     112  8
   110     0    56    40     0     3     0      60  )
   111     0    56    42     0     3     0      96  |
   112     0    57    17     0     3     0      59  (
   113     0    57    18     0     3     0      59  (
   114     0    57    19     0     3     0     111  x
   115     0    57    21     0     3     0      99  &
   116     0    57    23     0     3     0     112  0x00ff0000
   117     0    57    33     0     3     0      60  )
   118     0    57    35     0     3     0      86  >>>
   119     0    57    39     0     3     0     112  8
   120     0    57    40     0     3     0      60  )
   121     0    57    42     0     3     0      96  |
   122     0    58    17     0     3     0      59  (
   123     0    58    18     0     3     0     111  x
   124     0    58    20     0     3     0      86  >>>
   125     0    58    24     0     3     0     112  24
   126     0    58    26     0     3     0      60  )
   127     0    58    27     0     3     0      60  )
   128     0    58    28     0     3     0     102  ;
   129     0    59     5     0     3     0      64  }
   130     0    59     5     0     3     0     130  ENDMETHOD
   131     0    59     5     0     4     0     131  STARTMETHOD
   132     0    61     5     0     4     0      45  static
   133     0    61    12     0     4     0      53  long
   134     0    61    17     0     4     0     111  swap
   135     0    61    21     0     4     0      59  (
   136     0    61    22     0     4     0      53  long
   137     0    61    27     0     4     0     111  x
   138     0    61    28     0     4     0      60  )
   139     0    61    30     0     4     0      63  {
   140     0    62     9     0     4     0      19  return
   141     0    62    16     0     4     0      59  (
   142     0    62    17     0     4     0      59  (
   143     0    62    18     0     4     0      59  (
   144     0    62    19     0     4     0      53  long
   145     0    62    23     0     4     0      60  )
   146     0    62    24     0     4     0     111  swap
   147     0    62    28     0     4     0      59  (
   148     0    62    29     0     4     0      59  (
   149     0    62    30     0     4     0      36  int
   150     0    62    33     0     4     0      60  )
   151     0    62    34     0     4     0     111  x
   152     0    62    35     0     4     0      60  )
   153     0    62    37     0     4     0      90  <<
   154     0    62    40     0     4     0     112  32
   155     0    62    42     0     4     0      60  )
   156     0    62    44     0     4     0      96  |
   157     0    63    17     0     4     0      59  (
   158     0    63    18     0     4     0      59  (
   159     0    63    19     0     4     0      53  long
   160     0    63    23     0     4     0      60  )
   161     0    63    24     0     4     0     111  swap
   162     0    63    28     0     4     0      59  (
   163     0    63    29     0     4     0      59  (
   164     0    63    30     0     4     0      36  int
   165     0    63    33     0     4     0      60  )
   166     0    63    34     0     4     0      59  (
   167     0    63    35     0     4     0     111  x
   168     0    63    37     0     4     0      86  >>>
   169     0    63    41     0     4     0     112  32
   170     0    63    43     0     4     0      60  )
   171     0    63    44     0     4     0      60  )
   172     0    63    46     0     4     0      99  &
   173     0    63    48     0     4     0      55  0xffffffffL
   174     0    63    59     0     4     0      60  )
   175     0    63    60     0     4     0      60  )
   176     0    63    61     0     4     0     102  ;
   177     0    64     5     0     4     0      64  }
   178     0    64     5     0     4     0     132  ENDMETHOD
   179     0    64     5     0     5     0     133  STARTMETHOD
   180     0    69     5     0     5     0      45  static
   181     0    69    12     0     5     0      41  private
   182     0    69    20     0     5     0      40  char
   183     0    69    25     0     5     0     111  makeChar
   184     0    69    33     0     5     0      59  (
   185     0    69    39     0     5     0     111  b1
   186     0    69    41     0     5     0      66  ,
   187     0    69    48     0     5     0     111  b0
   188     0    69    50     0     5     0      60  )
   189     0    69    52     0     5     0      63  {
   190     0    70     9     0     5     0      19  return
   191     0    70    16     0     5     0      59  (
   192     0    70    17     0     5     0      40  char
   193     0    70    21     0     5     0      60  )
   194     0    70    22     0     5     0      59  (
   195     0    70    23     0     5     0      59  (
   196     0    70    24     0     5     0     111  b1
   197     0    70    27     0     5     0      90  <<
   198     0    70    30     0     5     0     112  8
   199     0    70    31     0     5     0      60  )
   200     0    70    33     0     5     0      96  |
   201     0    70    35     0     5     0      59  (
   202     0    70    36     0     5     0     111  b0
   203     0    70    39     0     5     0      99  &
   204     0    70    41     0     5     0     112  0xff
   205     0    70    45     0     5     0      60  )
   206     0    70    46     0     5     0      60  )
   207     0    70    47     0     5     0     102  ;
   208     0    71     5     0     5     0      64  }
   209     0    71     5     0     5     0     134  ENDMETHOD
   210     0    71     5     0     6     0     135  STARTMETHOD
   211     0    73     5     0     6     0      45  static
   212     0    73    12     0     6     0      40  char
   213     0    73    17     0     6     0     111  getCharL
   214     0    73    25     0     6     0      59  (
   215     0    73    26     0     6     0     111  ByteBuffer
   216     0    73    37     0     6     0     111  bb
   217     0    73    39     0     6     0      66  ,
   218     0    73    41     0     6     0      36  int
   219     0    73    45     0     6     0     111  bi
   220     0    73    47     0     6     0      60  )
   221     0    73    49     0     6     0      63  {
   222     0    74     9     0     6     0      19  return
   223     0    74    16     0     6     0     111  makeChar
   224     0    74    24     0     6     0      59  (
   225     0    74    25     0     6     0     111  bb._get
   226     0    74    32     0     6     0      59  (
   227     0    74    33     0     6     0     111  bi
   228     0    74    36     0     6     0      74  +
   229     0    74    38     0     6     0     112  1
   230     0    74    39     0     6     0      60  )
   231     0    74    40     0     6     0      66  ,
   232     0    75    25     0     6     0     111  bb._get
   233     0    75    32     0     6     0      59  (
   234     0    75    33     0     6     0     111  bi
   235     0    75    36     0     6     0      74  +
   236     0    75    38     0     6     0     112  0
   237     0    75    39     0     6     0      60  )
   238     0    75    40     0     6     0      60  )
   239     0    75    41     0     6     0     102  ;
   240     0    76     5     0     6     0      64  }
   241     0    76     5     0     6     0     136  ENDMETHOD
   242     0    76     5     0     7     0     137  STARTMETHOD
   243     0    78     5     0     7     0      45  static
   244     0    78    12     0     7     0      40  char
   245     0    78    17     0     7     0     111  getCharL
   246     0    78    25     0     7     0      59  (
   247     0    78    26     0     7     0      53  long
   248     0    78    31     0     7     0     111  a
   249     0    78    32     0     7     0      60  )
   250     0    78    34     0     7     0      63  {
   251     0    79     9     0     7     0      19  return
   252     0    79    16     0     7     0     111  makeChar
   253     0    79    24     0     7     0      59  (
   254     0    79    25     0     7     0     111  _get
   255     0    79    29     0     7     0      59  (
   256     0    79    30     0     7     0     111  a
   257     0    79    32     0     7     0      74  +
   258     0    79    34     0     7     0     112  1
   259     0    79    35     0     7     0      60  )
   260     0    79    36     0     7     0      66  ,
   261     0    80    25     0     7     0     111  _get
   262     0    80    29     0     7     0      59  (
   263     0    80    30     0     7     0     111  a
   264     0    80    32     0     7     0      74  +
   265     0    80    34     0     7     0     112  0
   266     0    80    35     0     7     0      60  )
   267     0    80    36     0     7     0      60  )
   268     0    80    37     0     7     0     102  ;
   269     0    81     5     0     7     0      64  }
   270     0    81     5     0     7     0     138  ENDMETHOD
   271     0    81     5     0     8     0     139  STARTMETHOD
   272     0    83     5     0     8     0      45  static
   273     0    83    12     0     8     0      40  char
   274     0    83    17     0     8     0     111  getCharB
   275     0    83    25     0     8     0      59  (
   276     0    83    26     0     8     0     111  ByteBuffer
   277     0    83    37     0     8     0     111  bb
   278     0    83    39     0     8     0      66  ,
   279     0    83    41     0     8     0      36  int
   280     0    83    45     0     8     0     111  bi
   281     0    83    47     0     8     0      60  )
   282     0    83    49     0     8     0      63  {
   283     0    84     9     0     8     0      19  return
   284     0    84    16     0     8     0     111  makeChar
   285     0    84    24     0     8     0      59  (
   286     0    84    25     0     8     0     111  bb._get
   287     0    84    32     0     8     0      59  (
   288     0    84    33     0     8     0     111  bi
   289     0    84    36     0     8     0      74  +
   290     0    84    38     0     8     0     112  0
   291     0    84    39     0     8     0      60  )
   292     0    84    40     0     8     0      66  ,
   293     0    85    25     0     8     0     111  bb._get
   294     0    85    32     0     8     0      59  (
   295     0    85    33     0     8     0     111  bi
   296     0    85    36     0     8     0      74  +
   297     0    85    38     0     8     0     112  1
   298     0    85    39     0     8     0      60  )
   299     0    85    40     0     8     0      60  )
   300     0    85    41     0     8     0     102  ;
   301     0    86     5     0     8     0      64  }
   302     0    86     5     0     8     0     140  ENDMETHOD
   303     0    86     5     0     9     0     141  STARTMETHOD
   304     0    88     5     0     9     0      45  static
   305     0    88    12     0     9     0      40  char
   306     0    88    17     0     9     0     111  getCharB
   307     0    88    25     0     9     0      59  (
   308     0    88    26     0     9     0      53  long
   309     0    88    31     0     9     0     111  a
   310     0    88    32     0     9     0      60  )
   311     0    88    34     0     9     0      63  {
   312     0    89     9     0     9     0      19  return
   313     0    89    16     0     9     0     111  makeChar
   314     0    89    24     0     9     0      59  (
   315     0    89    25     0     9     0     111  _get
   316     0    89    29     0     9     0      59  (
   317     0    89    30     0     9     0     111  a
   318     0    89    32     0     9     0      74  +
   319     0    89    34     0     9     0     112  0
   320     0    89    35     0     9     0      60  )
   321     0    89    36     0     9     0      66  ,
   322     0    90    25     0     9     0     111  _get
   323     0    90    29     0     9     0      59  (
   324     0    90    30     0     9     0     111  a
   325     0    90    32     0     9     0      74  +
   326     0    90    34     0     9     0     112  1
   327     0    90    35     0     9     0      60  )
   328     0    90    36     0     9     0      60  )
   329     0    90    37     0     9     0     102  ;
   330     0    91     5     0     9     0      64  }
   331     0    91     5     0     9     0     142  ENDMETHOD
   332     0    91     5     0    10     0     143  STARTMETHOD
   333     0    93     5     0    10     0      45  static
   334     0    93    12     0    10     0      40  char
   335     0    93    17     0    10     0     111  getChar
   336     0    93    24     0    10     0      59  (
   337     0    93    25     0    10     0     111  ByteBuffer
   338     0    93    36     0    10     0     111  bb
   339     0    93    38     0    10     0      66  ,
   340     0    93    40     0    10     0      36  int
   341     0    93    44     0    10     0     111  bi
   342     0    93    46     0    10     0      66  ,
   343     0    93    48     0    10     0      39  boolean
   344     0    93    56     0    10     0     111  bigEndian
   345     0    93    65     0    10     0      60  )
   346     0    93    67     0    10     0      63  {
   347     0    94     9     0    10     0      19  return
   348     0    94    16     0    10     0      59  (
   349     0    94    17     0    10     0     111  bigEndian
   350     0    94    27     0    10     0      58  ?
   351     0    94    29     0    10     0     111  getCharB
   352     0    94    37     0    10     0      59  (
   353     0    94    38     0    10     0     111  bb
   354     0    94    40     0    10     0      66  ,
   355     0    94    42     0    10     0     111  bi
   356     0    94    44     0    10     0      60  )
   357     0    94    46     0    10     0      65  :
   358     0    94    48     0    10     0     111  getCharL
   359     0    94    56     0    10     0      59  (
   360     0    94    57     0    10     0     111  bb
   361     0    94    59     0    10     0      66  ,
   362     0    94    61     0    10     0     111  bi
   363     0    94    63     0    10     0      60  )
   364     0    94    64     0    10     0      60  )
   365     0    94    65     0    10     0     102  ;
   366     0    95     5     0    10     0      64  }
   367     0    95     5     0    10     0     144  ENDMETHOD
   368     0    95     5     0    11     0     145  STARTMETHOD
   369     0    97     5     0    11     0      45  static
   370     0    97    12     0    11     0      40  char
   371     0    97    17     0    11     0     111  getChar
   372     0    97    24     0    11     0      59  (
   373     0    97    25     0    11     0      53  long
   374     0    97    30     0    11     0     111  a
   375     0    97    31     0    11     0      66  ,
   376     0    97    33     0    11     0      39  boolean
   377     0    97    41     0    11     0     111  bigEndian
   378     0    97    50     0    11     0      60  )
   379     0    97    52     0    11     0      63  {
   380     0    98     9     0    11     0      19  return
   381     0    98    16     0    11     0      59  (
   382     0    98    17     0    11     0     111  bigEndian
   383     0    98    27     0    11     0      58  ?
   384     0    98    29     0    11     0     111  getCharB
   385     0    98    37     0    11     0      59  (
   386     0    98    38     0    11     0     111  a
   387     0    98    39     0    11     0      60  )
   388     0    98    41     0    11     0      65  :
   389     0    98    43     0    11     0     111  getCharL
   390     0    98    51     0    11     0      59  (
   391     0    98    52     0    11     0     111  a
   392     0    98    53     0    11     0      60  )
   393     0    98    54     0    11     1      60  )
   394     0    98    55     0    11     1     102  ;
   395     0    99     5     0    11     1      64  }
   396     0    99     5     0    11     0     146  ENDMETHOD
   397     0    99     5     0    12     0     147  STARTMETHOD
   398     0   101     5     0    12     0      41  private
   399     0   101    13     0    12     0      45  static
   400     0   101    25     0    12     0     111  char1
   401     0   101    30     0    12     0      59  (
   402     0   101    31     0    12     0      40  char
   403     0   101    36     0    12     0     111  x
   404     0   101    37     0    12     0      60  )
   405     0   101    39     0    12     0      63  {
   406     0   101    41     0    12     0      19  return
   407     0   101    48     0    12     0      59  (
   408     0   101    53     0    12     0      60  )
   409     0   101    54     0    12     0      59  (
   410     0   101    55     0    12     0     111  x
   411     0   101    57     0    12     0      84  >>
   412     0   101    60     0    12     0     112  8
   413     0   101    61     0    12     1      60  )
   414     0   101    62     0    12     1     102  ;
   415     0   101    64     0    12     1      64  }
   416     0   101    64     0    12     0     148  ENDMETHOD
   417     0   101    64     0    13     0     149  STARTMETHOD
   418     0   102     5     0    13     0      41  private
   419     0   102    13     0    13     0      45  static
   420     0   102    25     0    13     0     111  char0
   421     0   102    30     0    13     0      59  (
   422     0   102    31     0    13     0      40  char
   423     0   102    36     0    13     0     111  x
   424     0   102    37     0    13     0      60  )
   425     0   102    39     0    13     0      63  {
   426     0   102    41     0    13     0      19  return
   427     0   102    48     0    13     0      59  (
   428     0   102    53     0    13     0      60  )
   429     0   102    54     0    13     0      59  (
   430     0   102    55     0    13     0     111  x
   431     0   102    57     0    13     0      84  >>
   432     0   102    60     0    13     0     112  0
   433     0   102    61     0    13     1      60  )
   434     0   102    62     0    13     1     102  ;
   435     0   102    64     0    13     1      64  }
   436     0   102    64     0    13     0     150  ENDMETHOD
   437     0   102    64     0    14     0     151  STARTMETHOD
   438     0   104     5     0    14     0      45  static
   439     0   104    12     0    14     0      50  void
   440     0   104    17     0    14     0     111  putCharL
   441     0   104    25     0    14     0      59  (
   442     0   104    26     0    14     0     111  ByteBuffer
   443     0   104    37     0    14     0     111  bb
   444     0   104    39     0    14     0      66  ,
   445     0   104    41     0    14     0      36  int
   446     0   104    45     0    14     0     111  bi
   447     0   104    47     0    14     0      66  ,
   448     0   104    49     0    14     0      40  char
   449     0   104    54     0    14     0     111  x
   450     0   104    55     0    14     0      60  )
   451     0   104    57     0    14     0      63  {
   452     0   105     9     0    14     1     111  bb._put
   453     0   105    16     0    14     1      59  (
   454     0   105    17     0    14     1     111  bi
   455     0   105    20     0    14     1      74  +
   456     0   105    22     0    14     1     112  0
   457     0   105    23     0    14     1      66  ,
   458     0   105    25     0    14     1     111  char0
   459     0   105    30     0    14     1      59  (
   460     0   105    31     0    14     1     111  x
   461     0   105    32     0    14     1      60  )
   462     0   105    33     0    14     1      60  )
   463     0   105    34     0    14     1     102  ;
   464     0   106     9     0    14     1     111  bb._put
   465     0   106    16     0    14     1      59  (
   466     0   106    17     0    14     1     111  bi
   467     0   106    20     0    14     1      74  +
   468     0   106    22     0    14     1     112  1
   469     0   106    23     0    14     1      66  ,
   470     0   106    25     0    14     1     111  char1
   471     0   106    30     0    14     1      59  (
   472     0   106    31     0    14     1     111  x
   473     0   106    32     0    14     1      60  )
   474     0   106    33     0    14     1      60  )
   475     0   106    34     0    14     1     102  ;
   476     0   107     5     0    14     0      64  }
   477     0   107     5     0    14     0     152  ENDMETHOD
   478     0   107     5     0    15     0     153  STARTMETHOD
   479     0   109     5     0    15     0      45  static
   480     0   109    12     0    15     0      50  void
   481     0   109    17     0    15     0     111  putCharL
   482     0   109    25     0    15     0      59  (
   483     0   109    26     0    15     0      53  long
   484     0   109    31     0    15     0     111  a
   485     0   109    32     0    15     0      66  ,
   486     0   109    34     0    15     0      40  char
   487     0   109    39     0    15     0     111  x
   488     0   109    40     0    15     0      60  )
   489     0   109    42     0    15     0      63  {
   490     0   110     9     0    15     1     111  _put
   491     0   110    13     0    15     1      59  (
   492     0   110    14     0    15     1     111  a
   493     0   110    16     0    15     1      74  +
   494     0   110    18     0    15     1     112  0
   495     0   110    19     0    15     1      66  ,
   496     0   110    21     0    15     1     111  char0
   497     0   110    26     0    15     1      59  (
   498     0   110    27     0    15     1     111  x
   499     0   110    28     0    15     1      60  )
   500     0   110    29     0    15     1      60  )
   501     0   110    30     0    15     1     102  ;
   502     0   111     9     0    15     1     111  _put
   503     0   111    13     0    15     1      59  (
   504     0   111    14     0    15     1     111  a
   505     0   111    16     0    15     1      74  +
   506     0   111    18     0    15     1     112  1
   507     0   111    19     0    15     1      66  ,
   508     0   111    21     0    15     1     111  char1
   509     0   111    26     0    15     1      59  (
   510     0   111    27     0    15     1     111  x
   511     0   111    28     0    15     1      60  )
   512     0   111    29     0    15     1      60  )
   513     0   111    30     0    15     1     102  ;
   514     0   112     5     0    15     0      64  }
   515     0   112     5     0    15     0     154  ENDMETHOD
   516     0   112     5     0    16     0     155  STARTMETHOD
   517     0   114     5     0    16     0      45  static
   518     0   114    12     0    16     0      50  void
   519     0   114    17     0    16     0     111  putCharB
   520     0   114    25     0    16     0      59  (
   521     0   114    26     0    16     0     111  ByteBuffer
   522     0   114    37     0    16     0     111  bb
   523     0   114    39     0    16     0      66  ,
   524     0   114    41     0    16     0      36  int
   525     0   114    45     0    16     0     111  bi
   526     0   114    47     0    16     0      66  ,
   527     0   114    49     0    16     0      40  char
   528     0   114    54     0    16     0     111  x
   529     0   114    55     0    16     0      60  )
   530     0   114    57     0    16     0      63  {
   531     0   115     9     0    16     1     111  bb._put
   532     0   115    16     0    16     1      59  (
   533     0   115    17     0    16     1     111  bi
   534     0   115    20     0    16     1      74  +
   535     0   115    22     0    16     1     112  0
   536     0   115    23     0    16     1      66  ,
   537     0   115    25     0    16     1     111  char1
   538     0   115    30     0    16     1      59  (
   539     0   115    31     0    16     1     111  x
   540     0   115    32     0    16     1      60  )
   541     0   115    33     0    16     1      60  )
   542     0   115    34     0    16     1     102  ;
   543     0   116     9     0    16     1     111  bb._put
   544     0   116    16     0    16     1      59  (
   545     0   116    17     0    16     1     111  bi
   546     0   116    20     0    16     1      74  +
   547     0   116    22     0    16     1     112  1
   548     0   116    23     0    16     1      66  ,
   549     0   116    25     0    16     1     111  char0
   550     0   116    30     0    16     1      59  (
   551     0   116    31     0    16     1     111  x
   552     0   116    32     0    16     1      60  )
   553     0   116    33     0    16     1      60  )
   554     0   116    34     0    16     1     102  ;
   555     0   117     5     0    16     0      64  }
   556     0   117     5     0    16     0     156  ENDMETHOD
   557     0   117     5     0    17     0     157  STARTMETHOD
   558     0   119     5     0    17     0      45  static
   559     0   119    12     0    17     0      50  void
   560     0   119    17     0    17     0     111  putCharB
   561     0   119    25     0    17     0      59  (
   562     0   119    26     0    17     0      53  long
   563     0   119    31     0    17     0     111  a
   564     0   119    32     0    17     0      66  ,
   565     0   119    34     0    17     0      40  char
   566     0   119    39     0    17     0     111  x
   567     0   119    40     0    17     0      60  )
   568     0   119    42     0    17     0      63  {
   569     0   120     9     0    17     1     111  _put
   570     0   120    13     0    17     1      59  (
   571     0   120    14     0    17     1     111  a
   572     0   120    16     0    17     1      74  +
   573     0   120    18     0    17     1     112  0
   574     0   120    19     0    17     1      66  ,
   575     0   120    21     0    17     1     111  char1
   576     0   120    26     0    17     1      59  (
   577     0   120    27     0    17     1     111  x
   578     0   120    28     0    17     1      60  )
   579     0   120    29     0    17     1      60  )
   580     0   120    30     0    17     1     102  ;
   581     0   121     9     0    17     1     111  _put
   582     0   121    13     0    17     1      59  (
   583     0   121    14     0    17     1     111  a
   584     0   121    16     0    17     1      74  +
   585     0   121    18     0    17     1     112  1
   586     0   121    19     0    17     1      66  ,
   587     0   121    21     0    17     1     111  char0
   588     0   121    26     0    17     1      59  (
   589     0   121    27     0    17     1     111  x
   590     0   121    28     0    17     1      60  )
   591     0   121    29     0    17     1      60  )
   592     0   121    30     0    17     1     102  ;
   593     0   122     5     0    17     0      64  }
   594     0   122     5     0    17     0     158  ENDMETHOD
   595     0   122     5     0    18     0     159  STARTMETHOD
   596     0   124     5     0    18     0      45  static
   597     0   124    12     0    18     0      50  void
   598     0   124    17     0    18     0     111  putChar
   599     0   124    24     0    18     0      59  (
   600     0   124    25     0    18     0     111  ByteBuffer
   601     0   124    36     0    18     0     111  bb
   602     0   124    38     0    18     0      66  ,
   603     0   124    40     0    18     0      36  int
   604     0   124    44     0    18     0     111  bi
   605     0   124    46     0    18     0      66  ,
   606     0   124    48     0    18     0      40  char
   607     0   124    53     0    18     0     111  x
   608     0   124    54     0    18     0      66  ,
   609     0   124    56     0    18     0      39  boolean
   610     0   124    64     0    18     0     111  bigEndian
   611     0   124    73     0    18     0      60  )
   612     0   124    75     0    18     0      63  {
   613     0   125     9     0    18     0      31  if
   614     0   125    12     0    18     0      59  (
   615     0   125    13     0    18     0     111  bigEndian
   616     0   125    22     0    18     0      60  )
   617     0   126    13     0    18     0     111  putCharB
   618     0   126    21     0    18     0      59  (
   619     0   126    22     0    18     0     111  bb
   620     0   126    24     0    18     0      66  ,
   621     0   126    26     0    18     0     111  bi
   622     0   126    28     0    18     0      66  ,
   623     0   126    30     0    18     0     111  x
   624     0   126    31     0    18     0      60  )
   625     0   126    32     0    18     0     102  ;
   626     0   127     9     0    18     0      48  else
   627     0   128    13     0    18     0     111  putCharL
   628     0   128    21     0    18     0      59  (
   629     0   128    22     0    18     0     111  bb
   630     0   128    24     0    18     0      66  ,
   631     0   128    26     0    18     0     111  bi
   632     0   128    28     0    18     0      66  ,
   633     0   128    30     0    18     0     111  x
   634     0   128    31     0    18     0      60  )
   635     0   128    32     0    18     0     102  ;
   636     0   129     5     0    18     0      64  }
   637     0   129     5     0    18     0     160  ENDMETHOD
   638     0   129     5     0    19     0     161  STARTMETHOD
   639     0   131     5     0    19     0      45  static
   640     0   131    12     0    19     0      50  void
   641     0   131    17     0    19     0     111  putChar
   642     0   131    24     0    19     0      59  (
   643     0   131    25     0    19     0      53  long
   644     0   131    30     0    19     0     111  a
   645     0   131    31     0    19     0      66  ,
   646     0   131    33     0    19     0      40  char
   647     0   131    38     0    19     0     111  x
   648     0   131    39     0    19     0      66  ,
   649     0   131    41     0    19     0      39  boolean
   650     0   131    49     0    19     0     111  bigEndian
   651     0   131    58     0    19     0      60  )
   652     0   131    60     0    19     0      63  {
   653     0   132     9     0    19     0      31  if
   654     0   132    12     0    19     0      59  (
   655     0   132    13     0    19     0     111  bigEndian
   656     0   132    22     0    19     0      60  )
   657     0   133    13     0    19     0     111  putCharB
   658     0   133    21     0    19     0      59  (
   659     0   133    22     0    19     0     111  a
   660     0   133    23     0    19     0      66  ,
   661     0   133    25     0    19     0     111  x
   662     0   133    26     0    19     0      60  )
   663     0   133    27     0    19     0     102  ;
   664     0   134     9     0    19     0      48  else
   665     0   135    13     0    19     0     111  putCharL
   666     0   135    21     0    19     0      59  (
   667     0   135    22     0    19     0     111  a
   668     0   135    23     0    19     0      66  ,
   669     0   135    25     0    19     0     111  x
   670     0   135    26     0    19     0      60  )
   671     0   135    27     0    19     0     102  ;
   672     0   136     5     0    19     0      64  }
   673     0   136     5     0    19     0     162  ENDMETHOD
   674     0   136     5     0    20     0     163  STARTMETHOD
   675     0   141     5     0    20     0      45  static
   676     0   141    12     0    20     0      41  private
   677     0   141    26     0    20     0     111  makeShort
   678     0   141    35     0    20     0      59  (
   679     0   141    41     0    20     0     111  b1
   680     0   141    43     0    20     0      66  ,
   681     0   141    50     0    20     0     111  b0
   682     0   141    52     0    20     0      60  )
   683     0   141    54     0    20     0      63  {
   684     0   142     9     0    20     0      19  return
   685     0   142    16     0    20     0      59  (
   686     0   142    22     0    20     0      60  )
   687     0   142    23     0    20     0      59  (
   688     0   142    24     0    20     0      59  (
   689     0   142    25     0    20     0     111  b1
   690     0   142    28     0    20     0      90  <<
   691     0   142    31     0    20     0     112  8
   692     0   142    32     0    20     0      60  )
   693     0   142    34     0    20     0      96  |
